격자 id 번호,좌측 격자 위치  ,상단 격자 위치,우측 격자 위치,하단 격자 위치,일평균 유동인구,일평균 남성 유동인구,일평균 여성 유동인구,0세_20세 미만 일평균 유동인구,20세_40세 미만 일평균 유동인구,40세_65세 미만 일평균 유동인구,65세 이상 일평균 유동인구,데이터기준일자
358,305277,519768,305377,519668,133.7888798,57.35800546,76.43087432,14.01502732,40.88655738,62.71549181,16.17180328,2021-11-30
359,305277,519668,305377,519568,48.79185792,21.11849727,27.67336066,4.852295082,15.08972678,23.2626776,5.58715847,2021-11-30
360,305277,519568,305377,519468,57.02112022,25.50718579,31.51393442,6.923087432,13.60483607,29.26885246,7.224344262,2021-11-30
361,305277,519468,305377,519368,197.3085246,88.97084699,108.3376776,23.55226776,47.52204917,101.359235,24.87497268,2021-11-30
362,305277,519368,305377,519268,290.7562022,131.9070765,158.8491257,34.79333333,70.75666666,148.4317213,36.77448087,2021-11-30
363,305277,519268,305377,519168,122.9484973,56.06304645,66.88545082,14.68650273,30.15878415,62.49226776,15.61094262,2021-11-30
364,305277,519168,305377,519068,10.70257292,5.541552083,5.161020833,0.603291667,2.726385417,6.11690625,1.255989583,2021-11-30
365,305277,519068,305377,518968,24.95468007,12.35522805,12.59945202,1.990030347,6.478592146,13.02756039,3.458497194,2021-11-30
366,305277,518968,305377,518868,38.1774696,18.30078487,19.87668472,3.407231313,9.953725985,19.20641182,5.610100477,2021-11-30
367,305277,518868,305377,518768,48.33622452,22.97218056,25.36404396,4.504718222,12.65013229,23.91523727,7.26613674,2021-11-30
368,305277,518768,305377,518668,52.0809487,24.79688339,27.28406532,4.978360906,13.64328267,25.50968978,7.949615348,2021-11-30
369,305277,518668,305377,518568,52.05417956,24.7949226,27.25925697,4.981424149,13.6371517,25.48337461,7.952229102,2021-11-30
370,305277,518568,305377,518468,37.32072295,17.73913459,19.58158836,3.504341687,9.766802569,18.41930111,5.630277592,2021-11-30
371,305277,518468,305377,518368,16.42984198,10.18367589,6.246166086,1.352433886,7.415295335,5.97619551,1.685917248,2021-11-30
372,305277,518368,305377,518268,7.077407407,6.59,0.487407407,0.645555556,5.922222222,0.48,0.02962963,2021-11-30
373,305277,518268,305377,518168,6.069766355,5.74317757,0.326588785,0.327102804,5.309205607,0.410560748,0.022897196,2021-11-30
488,305377,520568,305477,520468,109.4097814,50.82857924,58.5812022,10.21251366,33.64295082,53.97103826,11.58327869,2021-11-30
489,305377,520468,305477,520368,83.07596994,38.6070082,44.46896176,7.755027323,25.57412568,40.96892077,8.777896176,2021-11-30
490,305377,520368,305477,520268,109.4343169,50.84087432,58.59344264,10.21508197,33.65060109,53.98360656,11.58502732,2021-11-30
491,305377,520268,305477,520168,109.4220492,50.83472678,58.58732242,10.21379782,33.64677596,53.97732241,11.58415301,2021-11-30
492,305377,520168,305477,520068,236.0627198,111.4959698,124.5667501,21.83243094,73.75761913,114.9637833,25.50888645,2021-11-30
493,305377,520068,305477,519968,364.9940164,171.8870219,193.1069945,33.24136612,113.9450273,178.8218853,38.9857377,2021-11-30
494,305377,519968,305477,519868,336.4239891,154.7905191,181.63347,31.86150273,104.6140164,162.5916393,37.3568306,2021-11-30
495,305377,519868,305477,519768,119.175814,51.52224915,67.65356482,12.29953012,36.83649913,55.70215366,14.33763106,2021-11-30
496,305377,519768,305477,519668,76.15961749,32.78008197,43.37953552,7.833551913,23.33377049,35.89587431,9.096420765,2021-11-30
497,305377,519668,305477,519568,3.035157895,1.323894737,1.711263158,0.287157895,0.941105263,1.464578947,0.342315789,2021-11-30
498,305377,519568,305477,519468,35.71710462,15.90461399,19.81249063,4.176024273,8.930989166,18.16977825,4.440312936,2021-11-30
499,305377,519468,305477,519368,42.94838798,19.35898907,23.58939891,5.228907103,10.27948087,21.96204918,5.47795082,2021-11-30
500,305377,519368,305477,519268,77.87172132,35.02592896,42.84579235,9.33784153,18.67543716,40.00688525,9.851557377,2021-11-30
502,305377,519168,305477,519068,1.59,0.826666667,0.763333333,0.081666667,0.396666667,0.931666667,0.18,2021-11-30
503,305377,519068,305477,518968,13.90675913,7.242525388,6.664233742,0.805115805,3.586064772,7.851113116,1.664465438,2021-11-30
504,305377,518968,305477,518868,24.31283453,12.14669333,12.1661412,2.004269615,6.325200486,12.5208896,3.462474827,2021-11-30
505,305377,518868,305477,518768,32.24351505,15.67928896,16.56422609,2.836892522,8.400630143,16.29166246,4.714329922,2021-11-30
506,305377,518768,305477,518668,46.56216487,22.20723463,24.35493026,4.30193473,12.18319483,23.11889902,6.958136307,2021-11-30
507,305377,518668,305477,518568,52.62140547,25.01075518,27.61065029,4.999959524,13.7656233,25.86228172,7.993540928,2021-11-30
508,305377,518568,305477,518468,44.51361372,21.14767372,23.36594,4.025962139,11.66717102,22.24652433,6.573956242,2021-11-30
509,305377,518468,305477,518368,41.23427784,19.67933487,21.55494297,3.713489775,10.77435905,20.65400316,6.092425852,2021-11-30
510,305377,518368,305477,518268,19.03371867,12.75687468,6.27684399,2.107196931,8.982511509,6.452158567,1.491851663,2021-11-30
511,305377,518268,305477,518168,34.88806011,32.13595628,2.752103825,1.767540984,29.66836066,3.294098361,0.158060109,2021-11-30
604,305477,522768,305577,522668,8.014393305,5.820209205,2.1941841,0.060669456,3.390460251,4.206778243,0.356485356,2021-11-30
605,305477,522668,305577,522568,8.014393305,5.820209205,2.1941841,0.060669456,3.390460251,4.206778243,0.356485356,2021-11-30
617,305477,521468,305577,521368,31.38939891,14.8684153,16.52098361,3.439863388,9.316448087,15.39379781,3.239289617,2021-11-30
626,305477,520568,305577,520468,16.40607684,7.739308208,8.666768633,1.539723677,5.194012168,8.044059489,1.628281505,2021-11-30
627,305477,520468,305577,520368,82.07573769,38.13065574,43.94508198,7.661311476,25.23795082,40.48770492,8.688770493,2021-11-30
628,305477,520368,305577,520268,30.62140876,14.27161968,16.34978908,2.855871553,9.480731752,15.09677702,3.188028428,2021-11-30
629,305477,520268,305577,520168,56.74648162,26.39269871,30.35378292,5.298302286,17.49783905,27.97506459,5.975275709,2021-11-30
630,305477,520168,305577,520068,17.60546219,8.402453757,9.203008426,1.622281467,5.708136833,8.632405718,1.642638166,2021-11-30
631,305477,520068,305577,519968,232.7610656,109.4388251,123.3222404,21.3179235,72.38781421,114.1324044,24.9229235,2021-11-30
632,305477,519968,305577,519868,136.6848748,59.39040087,77.29447395,14.301621,42.13101827,63.45409795,16.79813759,2021-11-30
633,305477,519868,305577,519768,350.8476503,152.5059016,198.3417487,36.32879781,108.5030874,163.1993989,42.81636612,2021-11-30
634,305477,519768,305577,519668,166.5542998,72.41276472,94.14153508,17.31951448,51.35579717,77.45593193,20.42305621,2021-11-30
635,305477,519668,305577,519568,87.11921655,37.47702885,49.64218769,8.953450884,26.88927818,40.95805121,10.31843627,2021-11-30
636,305477,519568,305577,519468,305.5772678,138.3654372,167.2118306,36.58139345,74.26147541,156.1869399,38.54745902,2021-11-30
637,305477,519468,305577,519368,276.1015573,125.1545355,150.9470219,33.12822405,67.11322404,140.8234699,35.03663935,2021-11-30
