시도명,시군명,공영차고지명,소재지도로명주소,소재지지번주소,위도,경도,주차면(수),토지(제곱미터),관리기관명,관리기관전화번호,데이터기준일자
경기도,수원시,남부버스 공영차고지,경기도 수원시 권선구 덕영대로 1368번길 2 (곡반정동),경기도 수원시 권선구 곡반정동 89-3,37.24458964,127.0387069,160,20443,경기도 수원시,031-228-3329,2021-10-07
경기도,수원시,동부버스 공영차고지,경기도 수원시 영통구 광교호수로 250 (하동),경기도 수원시 영통구 하동 1007-1,37.2865764,127.078668,228,29383,경기도 수원시,031-228-3329,2021-10-07
경기도,수원시,북부버스 공영차고지,경기도 수원시 장안구 경수대로 1220번길 46 (파장동),경기도 수원시 장안구 파장동 23-5,37.32130548,126.9895629,97,10178,경기도 수원시,031-228-3329,2021-10-07
경기도,수원시,서부버스 공영차고지,경기도 수원시 권선구 온정로 107(호매실동),경기도 수원시 권선구 호매실동 1407,37.254874,126.962573,73,8953,경기도 수원시,031-228-3329,2021-10-07
경기도,수원시,대황교동화물차고지,경기도 수원시 정조로 224(대황교동),경기도 수원시 권선구 대황교동 31-3,37.2302655,127.0102476,230,29464,수원도시공사,031-267-4753,2021-10-07
경기도,수원시,수원화물공영차고지,경기도 수원시 권선구 서부로1390번길 114,경기도 수원시 권선구 고색동 551,37.23766274,126.9883562,205,"20,603",수원도시공사,031-278-9206,2021-10-07
