격자 id 번호,좌측 격자 위치  ,상단 격자 위치,우측 격자 위치,하단 격자 위치,일평균 유동인구,일평균 남성 유동인구,일평균 여성 유동인구,0세_20세 미만 일평균 유동인구,20세_40세 미만 일평균 유동인구,40세_65세 미만 일평균 유동인구,65세 이상 일평균 유동인구,데이터기준일자
1857,306377,521668,306477,521568,109.7066053,63.60742885,46.0991764,7.948904481,40.1330905,51.25136196,10.37324831,2021-11-30
1858,306377,521568,306477,521468,26.30019622,13.21268876,13.08750745,1.38522529,7.55895896,13.38253971,3.973472252,2021-11-30
1859,306377,521468,306477,521368,186.5146143,94.01887926,92.49573509,10.97756037,53.45068861,94.57977123,27.50659414,2021-11-30
1860,306377,521368,306477,521268,481.0358197,243.6722678,237.3635519,28.63822404,139.3468579,243.396448,69.65428961,2021-11-30
1879,306377,519468,306477,519368,918.8429167,447.1485119,471.6944047,100.7360714,303.2761012,414.1115178,100.7192262,2021-11-30
1880,306377,519368,306477,519268,137.6440834,67.31275001,70.33133334,14.58934524,45.53197024,62.54125,14.98151786,2021-11-30
1881,306377,519268,306477,519168,14.79572049,7.624495082,7.171225406,0.879538484,5.005695892,7.453420139,1.457065972,2021-11-30
1882,306377,519168,306477,519068,66.8282862,34.25367481,32.57461138,3.815850696,22.2738246,33.99137927,6.747231628,2021-11-30
1996,306477,521568,306577,521468,33.70082838,16.89985719,16.80097118,1.776957585,9.660493144,17.13525659,5.12812106,2021-11-30
1997,306477,521468,306577,521368,179.4090817,90.76483107,88.64425064,10.64353992,51.92988572,90.82891277,26.0067433,2021-11-30
2019,306477,519268,306577,519168,59.75012568,31.08497292,28.66515275,3.515397093,20.07430806,30.08788316,6.072537361,2021-11-30
2149,306577,520068,306677,519968,236.4328689,105.3276776,131.1051913,24.1110929,82.30592897,101.6996995,28.31614754,2021-11-30
2150,306577,519968,306677,519868,125.6291038,55.86527322,69.7638306,12.84824044,43.49009836,54.12161202,15.16915301,2021-11-30
2153,306577,519668,306677,519568,116.9723812,51.75594881,65.21643243,11.96922869,40.24049491,50.58222548,14.18043215,2021-11-30
2154,306577,519568,306677,519468,274.5926488,122.8125,151.7801488,27.46860119,95.95681547,118.4378274,32.72940476,2021-11-30
2155,306577,519468,306677,519368,183.4547619,81.81419642,101.6405655,18.57172619,63.68142857,78.99952382,22.20208333,2021-11-30
2156,306577,519368,306677,519268,44.76667841,23.16125166,21.60542676,2.599652189,15.20417428,22.59355183,4.36930012,2021-11-30
2157,306577,519268,306677,519168,40.50858461,20.80666472,19.70191991,2.33649415,13.58728381,20.5230515,4.061755163,2021-11-30
2287,306677,520068,306777,519968,236.024836,105.5070765,130.5177596,23.85726776,82.48286885,101.4692077,28.2154918,2021-11-30
2288,306677,519968,306777,519868,202.7474317,90.28937159,112.4580601,20.7947541,70.30453553,87.14336066,24.50478142,2021-11-30
2291,306677,519668,306777,519568,357.8239891,159.9542077,197.8697815,36.26581967,124.8761202,153.7260929,42.95595629,2021-11-30
2292,306677,519568,306777,519468,539.2733256,242.162378,297.1109475,53.49131098,189.7657494,232.1905035,63.82576162,2021-11-30
